Latitude Longitude
41.79006908 -87.654768679
41.889561428 -87.620196651
41.733316688 -87.649632631
41.652347172 -87.610056254
41.949555731 -87.648609742
41.793731105 -87.624065316
41.878772025 -87.733671734
41.799875696 -87.603928993
41.754818989 -87.558506782
41.757614433 -87.586115266
41.742479705 -87.547863998
41.675087687 -87.634597319
41.888884346 -87.712456058
41.810693516 -87.683929054
41.867414944 -87.627231186
41.831063762 -87.621330678
41.793442946 -87.619191203
41.923830895 -87.699164392
41.955444784 -87.652759876
41.891678767 -87.627551654
41.882196169 -87.725711406
41.752399933 -87.648136482
41.763166719 -87.606742081
41.829682911 -87.667933881
41.96055619 -87.71312483
41.739265865 -87.604893749
41.947992682 -87.660407997
41.886044188 -87.725821842
41.909636288 -87.745300725
41.875254627 -87.726496837
41.764682386 -87.663785792
41.815568993 -87.623002699
41.871371147 -87.627514417
41.939505116 -87.683807247
41.978108446 -87.904122758
41.867697344 -87.697156855
41.751214876 -87.571098146
41.909622506 -87.666443051
41.892858171 -87.64097384
41.976464206 -87.751898181
41.923672617 -87.786301606
41.873520236 -87.696093065
41.885879253 -87.630979425
41.901472709 -87.723824263
41.80171934 -87.630703621
41.763862909 -87.676810341
41.769005882 -87.634048296
41.720231607 -87.635903341
41.861161519 -87.687012569
41.710679165 -87.634636858
41.883516261 -87.636803841
41.876748835 -87.747900918
41.756640447 -87.663590843
41.985902025 -87.690739993
41.941921232 -87.749425976
41.865136492 -87.694601364
41.743419856 -87.704651072
41.958395885 -87.683736774
41.881203182 -87.647342333
41.802111489 -87.606401292
41.780242159 -87.699517898
41.799037642 -87.662284046
41.679132589 -87.632302272
41.931265705 -87.767016315
41.8857368 -87.632817191
41.703857851 -87.538911835
41.928620632 -87.642285052
41.773018105 -87.612742081
41.930076795 -87.718855435
41.736161813 -87.585631211
41.94044868 -87.651081589
41.800763793 -87.70800049
41.975138369 -87.764972906
41.946221444 -87.708253555
41.809926774 -87.667441441
41.800111681 -87.620980261
41.74317925 -87.600148257
41.752719419 -87.566250124
41.966224534 -87.759326992
41.705951875 -87.648970469
41.764686314 -87.684074304
41.891023035 -87.619141016
41.876919736 -87.69007408
